naam;kvk;rechtsvorm;straat;huisnummer;huisnummertoevoeging;postcode;woonplaatsnaam;landnaam;zaanvadresinfo;locatienaam;lomschrijving;vestigingsnummer;lstraat;lhuisnummer;lhuisnummertoevoeging;lpostcode;lwoonplaatsnaam;llandnaam;laanvadresinfo;iswzdacco;iswvggzaco;iswzdamb;isawvggzmb;aantekeningingang;aantekeningeinde;isbopz;zvvochtvoedingmedicatie;zvbeperkenbewegingsvrijheid;zvinsluiten;zvtoezicht;zvonderzoekkledinglichaam;zvonderzoekwoonruimte;zvcontrolerenmiddelen;zvbeperkeneigenleven;zvbeperkenbezoek;zvtijdelijkverblijf
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;12;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;14;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;16;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;18;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;20;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;22;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;24;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;26;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;28;;8918 LX;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;1;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;3;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;5;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;7;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;9;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;11;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;13;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;15;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;17;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;19;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;21;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;23;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, locatie Ymedam;;;Ymedam;25;;8918 LZ;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Zorgcentrum Nieuw Mellens;;;Borniastraat;32;;8934 AD;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Zorgcentrum Abbingahiem, 3 kleinschalige groepswoningen;;;Jansoniusstraat;4;;8934 BM;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Woonvorm Erasmus (4 woningen op de begane grond en 1 woning op de 1e etage);;;Hempenserweg;29;;8935 AD;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Noorderbreedte, Kleinschalige verpleegafdeling in Erasmushiem;;;Trosdravik;2;;8935 CK;Leeuwarden;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Groepswoningen in het Multifunctioneel Centrum;;;Oostergoostraat;52;;9001 CM;Grou;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Groepswoningen in het Multifunctioneel Centrum;;;Oostergoostraat;54;;9001 CM;Grou;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Woonvorm Van Harenshuus (6 woningen);;;Cingel;2;;9076 DK;Sint Annaparochie;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Verpleeghuisdeel van Bennema State;;;Rijksstraatweg;165;;9254 DE;Hardegarijp;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Verpleeghuis Nieuw Toutenburg;;;Zomerweg;75;;9257 ME;Noordbergum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Noorderbreedte B.V.;1137892;beslotenVennootschap;Tadingastraat;7;;8900 CG;Leeuwarden;Nederland;;Verpleeghuisdeel van Meckama State;;;Tjerk Hiddesstraat;42;;9291 AM;Kollum;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;Verpleeghuis Dorestad van Parnassia Bavo Groep;;;Passievruchtstraat;2;;2552 BJ;Den Haag;Nederland;;ja;;;;1-1-2020;;ja;;;;;;;;;;
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;A;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;B;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;C;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;D;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;E;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;F;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;G;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;H;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;I;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;J;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;K;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;L;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;M;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;N;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;O;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;P;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;Q;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;R;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;S;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;11;T;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;A;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;B;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;C;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;D;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;E;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;F;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;G;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie WCO;;;Kiwistraat;21;H;2552 DH;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Mangostraat 1;;;Mangostraat;1;;2552 KS;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nectarinestraat 10;;;Nectarinestraat;10;;2552 LZ;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 15;;;Nicolaas van Akenstraat;15;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 35;;;Nicolaas van Akenstraat;35;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 37;;;Nicolaas van Akenstraat;37;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 39;;;Nicolaas van Akenstraat;39;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 41;;;Nicolaas van Akenstraat;41;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 43;;;Nicolaas van Akenstraat;43;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 45;;;Nicolaas van Akenstraat;45;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 47;;;Nicolaas van Akenstraat;47;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 49;;;Nicolaas van Akenstraat;49;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 51;;;Nicolaas van Akenstraat;51;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 53 ;;;Nicolaas van Akenstraat;53;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 55;;;Nicolaas van Akenstraat;55;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 57;;;Nicolaas van Akenstraat;57;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 59;;;Nicolaas van Akenstraat;59;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 61;;;Nicolaas van Akenstraat;61;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 63;;;Nicolaas van Akenstraat;63;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 65;;;Nicolaas van Akenstraat;65;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 67;;;Nicolaas van Akenstraat;67;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 69;;;Nicolaas van Akenstraat;69;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 89;;;Nicolaas van Akenstraat;89;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 91;;;Nicolaas van Akenstraat;91;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 93;;;Nicolaas van Akenstraat;93;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 95;;;Nicolaas van Akenstraat;95;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 97;;;Nicolaas van Akenstraat;97;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 99;;;Nicolaas van Akenstraat;99;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 101;;;Nicolaas van Akenstraat;101;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 103;;;Nicolaas van Akenstraat;103;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 105;;;Nicolaas van Akenstraat;105;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 107;;;Nicolaas van Akenstraat;107;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 109;;;Nicolaas van Akenstraat;109;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 111;;;Nicolaas van Akenstraat;111;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
Parnassia Haaglanden B.V.;27321702;beslotenVennootschap;Monsterseweg;93;;2553 RJ;Den Haag;Nederland;;locatie Nicolaas van Akenstraat 113;;;Nicolaas van Akenstraat;113;;2552 RG;Den Haag;Nederland;;;ja;;;1-1-2020;;ja;ja;ja;ja;;;;;;;ja
