"naam";"kvk";"rechtsvorm";"straat";"huisnummer";"huisletter";"huisnummerToevoeging";"postcode";"woonplaatsnaam";"landnaam";"zaanvadresinfo";"locatienaam";"lomschrijving";"vestigingsnummer";"lstraat";"lhuisnummer";"lhuisletter";"lhuisnummerToevoeging";"lpostcode";"lwoonplaatsnaam";"llandnaam";"laanvadresinfo";"isaccommodatie";"iswzd";"iswvggz";"aantekeningingang";"aantekeningeinde";"zvbejegening";"zvverzorging";"zvverpleging";"zvbehandeling";"zvbegeleiding";"zvbescherming";"zvvochtvoedingmedicatie";"zvmedishcecontroles";"zvbeperkenbewegingsvrijheid";"zvinsluiten";"zvtoezicht";"zvonderzoekkledinglichaam";"zvonderzoekwoonruimte";;"zvbeperkeneigenleven";"zvbeperkenbezoek";"zvopnemen";"zvtijdelijkverblijf"
"Stichting Ambiq";62375644;"Stichting";"Postbus ";"820";;;"7550 AV";"Hengelo";"Nederland";;"Ambiq";;;"Voltastraat ";"25-";"1";;"7903 AS";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Ambiq";62375644;"Stichting";"Postbus ";"820";;;"7550 AV";"Hengelo";"Nederland";;"Ambiq";;;"Voltastraat ";"25-";"2";;"7903 AS";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Ambiq";62375644;"Stichting";"Postbus ";"820";;;"7550 AV";"Hengelo";"Nederland";;"Ambiq";;;"Voltastraat ";"25A";"-3";;"7903 AS";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Ambiq";62375644;"Stichting";"Postbus ";"820";;;"7550 AV";"Hengelo";"Nederland";;"Ambiq";;;"Voltastraat ";"25A";"-4";;"7903 AS";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Vanboeijen";62375644;"Stichting";"Postbus ";"30014";;;"9400 RA";"Assen";"Nederland";;"Vanboeijen";;;"De Kroon ";"2";;;"7904 KD";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Vanboeijen";62375644;"Stichting";"Postbus ";"30014";;;"9400 RA";"Assen";"Nederland";;"Vanboeijen, Meteorenflat";;;"Meteorenlaan ";"66";;;"7904 CD";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Vanboeijen";62375644;"Stichting";"Postbus ";"30014";;;"9400 RA";"Assen";"Nederland";;"Vanboeijen, De Poolster";;;"Poolster ";"29";;;"7904 CS";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Vanboeijen";62375644;"Stichting";"Postbus ";"30014";;;"9400 RA";"Assen";"Nederland";;"Vanboeijen, Flats Krakeel";;;"Grote Beer ";"34";;;"7904 LW";"Hoogeveen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Vanboeijen";62375644;"Stichting";"Postbus ";"30014";;;"9400 RA";"Assen";"Nederland";;"Vanboeijen";;;"Geelbroekerweg ";"8";;;"9414 TD";"Hooghalen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Vanboeijen";62375644;"Stichting";"Postbus ";"30014";;;"9400 RA";"Assen";"Nederland";;"Vanboeijen";;;"Geelbroekerweg ";"8";"A";;"9414 TD";"Hooghalen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Esdégé-Reigersdaal";62375644;"Stichting";"Postbus ";"35";;;"1720 AA";"Broek Op Langedijk";"Nederland";;"Esdégé-Reigersdaal";;;"Nachtegaal ";"28";;;"1616 HB";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Esdégé-Reigersdaal";62375644;"Stichting";"Postbus ";"35";;;"1720 AA";"Broek Op Langedijk";"Nederland";;"Esdégé-Reigersdaal";;;"Streekweg ";"148";;;"1616 AM";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"5";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"6";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"7";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"8";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"9";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"10";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"11";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Saffraan ";"12";;;"1616 TT";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"17";;;"1616 TN";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"19";;;"1616 TN";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"21";;;"1616 TN";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"23";;;"1616 TN";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"25";;;"1616 TN";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"34";;;"1616 TM";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"38";;;"1616 TM";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"44";;;"1616 TM";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Laurier ";"56";;;"1616 TM";"Hoogkarspel";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting 's Heeren Loo Zorggroep";62375644;"Stichting";"Postbus ";"647";;;"3800 AP";"Amersfoort";"Nederland";;"s Heeren Loo";;;"Van Alcmaerlaan ";"14";;;"2355 BS";"Hoogmade";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting 's Heeren Loo Zorggroep";62375644;"Stichting";"Postbus ";"647";;;"3800 AP";"Amersfoort";"Nederland";;"s Heeren Loo";;;"Van Alcmaerlaan ";"16";;;"2355 BS";"Hoogmade";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting 's Heeren Loo Zorggroep";62375644;"Stichting";"Postbus ";"647";;;"3800 AP";"Amersfoort";"Nederland";;"s Heeren Loo";;;"Van Alcmaerlaan ";"18";;;"2355 BS";"Hoogmade";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting 's Heeren Loo Zorggroep";62375644;"Stichting";"Postbus ";"647";;;"3800 AP";"Amersfoort";"Nederland";;"s Heeren Loo";;;"Van Alcmaerlaan ";"20";;;"2355 BS";"Hoogmade";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Reinier Kloegstraat ";"90";;;"3191 XC";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Reinier Kloegstraat ";"96";;;"3191 XC";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Langs de Baan ";"6";;;"3191 XG";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Langs de Baan ";"12";;;"3191 XG";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Langs de Baan ";"14";;;"3191 XG";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Willem van de Scheepad ";"10";;;"3191 TP";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Willem van de Scheepad ";"14";;;"3191 TP";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Willem van de Scheepad ";"18";;;"3191 TP";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Doggersbank ";"47";;;"3192 DA";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Doggersbank ";"49";;;"3192 DA";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Doggersbank ";"51";;;"3192 DA";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Portlandsebaan ";"165";;;"3162 RG";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Forelstraat ";"42";;;"3191 CL";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Forelstraat ";"100";;;"3192 CM";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Mangaan ";"1";;;"3162 ZA";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting ASVZ";62375644;"Stichting";"Postbus ";"121";;;"3360 AC";"Sliedrecht";"Nederland";;"ASVZ Wielewaal";;;"Buitenhof ";"61";;;"3162 ZA";"Hoogvliet";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Barnsteen ";"2";;;"1718 DG";"Hoogwoud";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Barnsteen ";"4";;;"1718 DG";"Hoogwoud";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Esdégé-Reigersdaal";62375644;"Stichting";"Postbus ";"35";;;"1720 AA";"Broek Op Langedijk";"Nederland";;"Esdégé-Reigersdaal";;;"Gerritsland ";"69";"a";;"1621 CB";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Esdégé-Reigersdaal";62375644;"Stichting";"Postbus ";"35";;;"1720 AA";"Broek Op Langedijk";"Nederland";;"Esdégé-Reigersdaal";;;"Kieftentuin ";"93";;;"1689 LM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"21";;;"1628 XL";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"22";;;"1628 XL";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"23";;;"1628 XL";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"31";;;"1628 XL";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"88";;;"1628 XM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"89";;;"1628 XM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Breitnerhof ";"90";;;"1628 XM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Vijzelmolen ";"94";"a";;"1622 KM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Vijzelmolen ";"94";"b";;"1622 KM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Vijzelmolen ";"94";"c";;"1622 KM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Vijzelmolen ";"94";"d";;"1622 KM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Vijzelmolen ";"94";"e";;"1622 KM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Vijzelmolen ";"94";"f";;"1622 KM";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Roerdomp ";"32";"a";;"1628 AW";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Roerdomp ";"32";"b";;"1628 AW";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Roerdomp ";"32";"c";;"1628 AW";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Roerdomp ";"32";"d";;"1628 AW";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Roerdomp ";"32";"e";;"1628 AW";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Leekerweide";62375644;"Stichting";"Postbus ";"1";;;"1687 ZG";"Wognum";"Nederland";;"Leekerweide";;;"Roerdomp ";"32";"f";;"1628 AW";"Hoorn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting DeSeizoenen";62375644;"Stichting";"Postbus ";"28";;;"5845 ZG";"Sint Anthonis";"Nederland";;"DeSeizoenen locatie Elivagar, wonen Lvg";;;"Bergerweg ";"23";"d";;"6085 AS";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"2";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"4";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"6";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"8";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"10";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"12";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Schoolpad ";"14";;;"6085 BM";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Dorpsstraat ";"55";;;"6085 BE";"Horn";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Hof te Berkel ";"19";;;"5961 KX";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Hof te Berkel ";"43";;;"5961 KX";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Blitterswijckstraat ";"13";;;"5961 ST";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Blitterswijckstraat ";"17";;;"5961 ST";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Bornestraat ";"1";;;"5961 SW";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Bornestraat ";"3";;;"5961 SW";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Bornestraat ";"4";;;"5961 SW";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Bronckhorststraat ";"29";;;"5961 SN";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Bronckhorststraat ";"31";;;"5961 SN";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Dichterbij";62375644;"Stichting";"Postbus ";"9";;;"6590 AA";"Gennep";"Nederland";;"Dichterbij";;;"Van Bronckhorststraat ";"33";;;"5961 SN";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Pluryn";62375644;"Stichting";"Postbus ";"53";;;"6500 AB";"Nijmegen";"Nederland";;"Pluryn";;;"Van Bocholtzstraat ";"34";;;"5961 SG";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Pluryn";62375644;"Stichting";"Postbus ";"53";;;"6500 AB";"Nijmegen";"Nederland";;"Pluryn";;;"Van Bocholtzstraat ";"36";;;"5961 SG";"Horst";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
"Stichting Siza Dorp Groep";62375644;"Stichting";"Postbus ";"532";;;"6800 AM";"Arnhem";"Nederland";;"Siza Dorp Groep";;;"Baron van Spittaellaan ";"3";;;"6851 NT";"Huissen";"Nederland";;"ja ";"ja";;Nov 1, 19;;;;;;;;;;;;;;;;;;;
